text,cleaned_text,language,date,source,location,disaster_type
Keep us safe always Lord..for you alone all the Glory..In Jesus name amen❤️,keep us safe always lordfor you alone all the gloryin jesus name amen:redheart:,English,2025-04-23T05:55:35.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord protect us. Amen,lord protect us amen,Taglish,2025-04-22T21:52:07.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord keep us safe always 🙏,lord keep us safe always :foldedhands:,English,2025-04-23T04:29:42.000Z,Facebook,"Meycauayan, Bulacan",Flood
Have mercy on us Amen 🙏,have mercy on us amen :foldedhands:,English,2025-04-22T20:58:05.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord help us.  Amen,lord help us amen,English,2025-04-23T00:48:54.000Z,Facebook,"Meycauayan, Bulacan",Flood
Thy Will Be Done....IN JESUS NAME.🙏,thy will be donein jesus name:foldedhands:,English,2025-04-23T06:49:07.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Thank you Lord🙏 God is good  all the time,🙏🙏🙏",thank you lord:foldedhands: god is good all the time:foldedhands::foldedhands::foldedhands:,English,2025-04-22T21:19:56.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen lord,amen lord,Taglish,2025-04-22T23:34:25.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord naway po gabayan mo ang amin mga kbabayan Amen,lord naway po gabayan mo ang amin mga kbabayan amen,Tagalog,2025-04-23T00:35:32.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep us all safe in Jesus name Alleluia Amen 🙏🙏❤️,keep us all safe in jesus name alleluia amen :foldedhands::foldedhands::redheart:,English,2025-04-23T02:16:27.000Z,Facebook,"Meycauayan, Bulacan",Flood
Hallelujah Praised God Almighty in Jesus name Amen Amazing God Hallelujah,hallelujah praised god almighty in jesus name amen amazing god hallelujah,Taglish,2025-04-23T08:49:58.000Z,Facebook,"Meycauayan, Bulacan",Flood
amen 🙏🙏🙏 makapangyarihan diyos wag mo kmi pabayaan,amen :foldedhands::foldedhands::foldedhands: makapangyarihan diyos wag mo kmi pabayaan,Taglish,2025-04-22T23:18:21.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord please keep us and safe all ways 🙏🙏🙏,lord please keep us and safe all ways :foldedhands::foldedhands::foldedhands:,English,2025-04-22T21:46:39.000Z,Facebook,"Meycauayan, Bulacan",Flood
AMEN 🙏🙏🙏🙏,amen :foldedhands::foldedhands::foldedhands::foldedhands:,Taglish,2025-04-23T04:25:11.000Z,Facebook,"Meycauayan, Bulacan",Flood
GOD IS GOOD ALL THE TIME🙏🙏🙏,god is good all the time:foldedhands::foldedhands::foldedhands:,English,2025-04-23T02:05:42.000Z,Facebook,"Meycauayan, Bulacan",Flood
Protect us Lord king of Mercy 🙏,protect us lord king of mercy :foldedhands:,English,2025-04-22T21:23:40.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Spare us, Oh Lord, from all calamities!🙏🙏🙏",spare us oh lord from all calamities:foldedhands::foldedhands::foldedhands:,English,2025-04-22T23:40:29.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord save Philippe and may family amen 🙏🙏🙏🙏,lord save philippe and may family amen :foldedhands::foldedhands::foldedhands::foldedhands:,Taglish,2025-04-23T01:32:54.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord maraming bagay kang nagpadama ng hiwaga sa buhay q.Sana po huag nio po kmi pabayaan .Ikaw po ang aming kanlungan sa panahon ng aming kawalan ❤️🙏,lord maraming bagay kang nagpadama ng hiwaga sa buhay qsana po huag nio po kmi pabayaan ikaw po ang aming kanlungan sa panahon ng aming kawalan :redheart::foldedhands:,Tagalog,2025-04-23T02:39:15.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen thank you lord,amen thank you lord,English,2025-04-22T19:16:07.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Heavenly Father, we come to you with humble hearts, seeking your guidance and protection in the face of this earthquake. Please be with us and keep us safe.🙏🙏🙏🙏🙏",heavenly father we come to you with humble hearts seeking your guidance and protection in the face of this earthquake please be with us and keep us safe:foldedhands::foldedhands::foldedhands::foldedhands::foldedhands:,English,2025-04-23T05:29:26.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Help Us all oh God,and protect us always...Amen",help us all oh godand protect us alwaysamen,English,2025-04-22T23:49:10.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Please do the prayers,,,,,,,everyday,,,,,",please do the prayerseveryday,English,2025-04-23T02:53:14.000Z,Facebook,"Meycauayan, Bulacan",Flood
always keep us safe oh Lord 🙏,always keep us safe oh lord :foldedhands:,English,2025-04-23T01:04:00.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord ingatan niyo kami na mga anak niyo po huwag niyo po ipagkaloob ang the big 0ne ikaw na po ang bahala samin lahat na mga anak niyo 🙏🙏🙏,lord ingatan niyo kami na mga anak niyo po huwag niyo po ipagkaloob ang the big 0ne ikaw na po ang bahala samin lahat na mga anak niyo :foldedhands::foldedhands::foldedhands:,Tagalog,2025-04-22T22:28:58.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord help us amen,lord help us amen,English,2025-04-23T00:52:19.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep us all safe po Lord🙏,keep us all safe po lord:foldedhands:,Taglish,2025-04-22T22:22:12.000Z,Facebook,"Meycauayan, Bulacan",Flood
Save us Lord the Phils my liveones Praise Lord You are the Highest,save us lord the phils my liveones praise lord you are the highest,English,2025-04-22T20:16:40.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen 🙏🙏 🙏,amen :foldedhands::foldedhands: :foldedhands:,Taglish,2025-04-23T04:24:07.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord save  and protect us fr the big one 🙏,lord save and protect us fr the big one :foldedhands:,English,2025-04-23T06:48:00.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord please keep us all esp.our loved ones, families n friends safe n continue to protect us to any untoward incidents that is not of You Lord. Amen n amen",lord please keep us all espour loved ones families n friends safe n continue to protect us to any untoward incidents that is not of you lord amen n amen,English,2025-04-22T23:07:12.000Z,Facebook,"Meycauayan, Bulacan",Flood
Let us God's mercy for our safety.He alone can prevent such disaster.Have Faith and Trust in Him.,let us gods mercy for our safetyhe alone can prevent such disasterhave faith and trust in him,English,2025-04-22T23:48:10.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord God you Are our protector,lord god you are our protector,Taglish,2025-04-23T01:09:29.000Z,Facebook,"Meycauayan, Bulacan",Flood
"God is good. He is our protector above all. Atong isalig Ang tanan ....
Good morning.",god is good he is our protector above all atong isalig ang tanan good morning,English,2025-04-22T22:11:16.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord keep us all safe,lord keep us all safe,Taglish,2025-04-22T23:09:59.000Z,Facebook,"Meycauayan, Bulacan",Flood
Have mercy oh Lord! Spare us from any calamities 🙏🙏🙏,have mercy oh lord spare us from any calamities :foldedhands::foldedhands::foldedhands:,English,2025-04-22T21:57:51.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen,amen,Taglish,2025-04-22T21:01:40.000Z,Facebook,"Meycauayan, Bulacan",Flood
Father God spare n protect us fr devastating earthquake LORD,father god spare n protect us fr devastating earthquake lord,English,2025-04-23T08:38:11.000Z,Facebook,"Meycauayan, Bulacan",Flood
Cancell Lord earthquake plz save us all,cancell lord earthquake plz save us all,English,2025-04-23T00:49:05.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord engtan m Po kming lahat kahit n Po mkasalanan kmi ilayo m Po kmi sa panganib🙏🏼🙏🏼,lord engtan m po kming lahat kahit n po mkasalanan kmi ilayo m po kmi sa panganib:foldedhandsmediumlightskintone::foldedhandsmediumlightskintone:,Tagalog,2025-04-22T22:31:57.000Z,Facebook,"Meycauayan, Bulacan",Flood
Protect us lord in jesus name..amen,protect us lord in jesus nameamen,English,2025-04-22T22:11:23.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord Jesus patawarin m po km sa lhat ng aming mga lapses sa inyo at sa aming kapwa, nawa po ang iyong kalooban ang parating manatili sa aming pusot isipan. Pagpalain at ingatan m po kmi sa lhat ng kapahamakan, amen",lord jesus patawarin m po km sa lhat ng aming mga lapses sa inyo at sa aming kapwa nawa po ang iyong kalooban ang parating manatili sa aming pusot isipan pagpalain at ingatan m po kmi sa lhat ng kapahamakan amen,Tagalog,2025-04-23T03:38:20.000Z,Facebook,"Meycauayan, Bulacan",Flood
My Lord Jesus Christ 🙏 please protect us always.. Amen 🙏🙏🙏,my lord jesus christ :foldedhands: please protect us always amen :foldedhands::foldedhands::foldedhands:,English,2025-04-22T22:45:58.000Z,Facebook,"Meycauayan, Bulacan",Flood
Pray for us and save us amen,pray for us and save us amen,English,2025-04-22T21:32:58.000Z,Facebook,"Meycauayan, Bulacan",Flood
God save the Philippines',god save the philippines,English,2025-04-23T04:12:05.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Hindi naman nangyari ang sinabi ni Baldwin at Alexa about sa Philippines na makakaranas ng 8.2 magnitude na lindol at tinawag nilang the ""Big One"" at magdudulot daw ng Tsunami at kikitil ng libo-libong buhay at wawasak ng maraming ari-arian sa araw ng April 22, 2025. Isang patunay na walang magkakapantay sa karunungan at kapangyarihan ng DIYOS na may lalang ng lahat.",hindi naman nangyari ang sinabi ni baldwin at alexa about sa philippines na makakaranas ng 82 magnitude na lindol at tinawag nilang the big one at magdudulot daw ng tsunami at kikitil ng libolibong buhay at wawasak ng maraming ariarian sa araw ng april 22 2025 isang patunay na walang magkakapantay sa karunungan at kapangyarihan ng diyos na may lalang ng lahat,Tagalog,2025-04-23T03:51:38.000Z,Facebook,"Meycauayan, Bulacan",Flood
"God save us,in Jesus name,amen",god save usin jesus nameamen,Taglish,2025-04-23T02:38:16.000Z,Facebook,"Meycauayan, Bulacan",Flood
"I cancel strong earthquake in rhe Philippines.
In Jesus' Name Amen",i cancel strong earthquake in rhe philippines in jesus name amen,English,2025-04-22T22:28:46.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep us safe Lord. Amen,keep us safe lord amen,Taglish,2025-04-23T01:46:43.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep safe everyone.  Dear God please keep us all safe.,keep safe everyone dear god please keep us all safe,Taglish,2025-04-22T21:32:39.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Ingatang po ninyo kami, thank, yu lord amen",ingatang po ninyo kami thank yu lord amen,Tagalog,2025-04-23T04:10:12.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep safe every one pray lang tayo god is good aliluya,keep safe every one pray lang tayo god is good aliluya,Tagalog,2025-04-22T20:34:41.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord God protect everyone!,lord god protect everyone,English,2025-04-22T14:49:14.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep us all safe po lord ..thank you po,keep us all safe po lord thank you po,English,2025-04-22T13:09:17.000Z,Facebook,"Meycauayan, Bulacan",Flood
Be safe and alert everyone. God bless.,be safe and alert everyone god bless,Taglish,2025-04-23T01:14:35.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord wag mo kaming pababayaan Cover us with your precious arms , protect us and my love ones. 🙏🏻♥️💜🙏",lord wag mo kaming pababayaan cover us with your precious arms protect us and my love ones :foldedhandslightskintone::heartsuit::purpleheart::foldedhands:,English,2025-04-22T23:42:41.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord guide us, amen",lord guide us amen,Taglish,2025-04-22T23:38:06.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord  amen,lord amen,Taglish,2025-04-22T22:16:53.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen,amen,Taglish,2025-04-22T23:38:53.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen thank u lord,amen thank you lord,English,2025-04-22T21:20:40.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen,amen,Taglish,2025-04-23T03:58:02.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord please take good care of all us
Dont let the big one will come
Please protect us
In Jesus nameAmen",lord please take good care of all us do not let the big one will come please protect us in jesus nameamen,English,2025-04-23T00:14:31.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord God Pray for Us Amen 🙏❤️,lord god pray for us amen :foldedhands::redheart:,English,2025-04-22T23:38:59.000Z,Facebook,"Meycauayan, Bulacan",Flood
amen salamat po lord,amen salamat po lord,Taglish,2025-04-22T20:17:42.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Protect us oh Lord, save us.. AMEN",protect us oh lord save us amen,English,2025-04-23T11:04:26.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep us all safe Lord,keep us all safe lord,Taglish,2025-04-23T07:37:40.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord keep us safe always,lord keep us safe always,English,2025-04-22T23:53:40.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Powerful n Merciful God, pls protect us all...Amen..🙏🙏🙏❤❤❤",powerful n merciful god please protect us allamen:foldedhands::foldedhands::foldedhands::redheart::redheart::redheart:,English,2025-04-22T23:31:51.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen Lord..🙏🙏🙏,amen lord:foldedhands::foldedhands::foldedhands:,Taglish,2025-04-22T19:14:18.000Z,Facebook,"Meycauayan, Bulacan",Flood
Mahal na Poong Jesus gabayan at protektahan mo kami sana po hindi mangyari ang lindol amen🙏🙏🙏,mahal na poong jesus gabayan at protektahan mo kami sana po hindi mangyari ang lindol amen:foldedhands::foldedhands::foldedhands:,Tagalog,2025-04-23T10:45:04.000Z,Facebook,"Meycauayan, Bulacan",Flood
God is good 👍 🙏,god is good :thumbsup: :foldedhands:,English,2025-04-23T00:21:43.000Z,Facebook,"Meycauayan, Bulacan",Flood
lord keep us safe always🙏🙏🙏,lord keep us safe always:foldedhands::foldedhands::foldedhands:,Taglish,2025-04-22T22:40:21.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen,amen,Taglish,2025-04-23T06:14:00.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen thank you lord 🙏❤️🙏,amen thank you lord :foldedhands::redheart::foldedhands:,English,2025-04-23T07:01:03.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Heavenly Father, we trust in You. Put us under Your mighty protection, in Jesus most holy name we pray, Amen.🙏🙏🙏",heavenly father we trust in you put us under your mighty protection in jesus most holy name we pray amen:foldedhands::foldedhands::foldedhands:,English,2025-04-23T09:18:19.000Z,Facebook,"Meycauayan, Bulacan",Flood
Please take good care of us Lord.Amen,please take good care of us lordamen,English,2025-04-22T23:15:24.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord help us amen,lord help us amen,English,2025-04-22T23:06:11.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen,amen,Taglish,2025-04-23T10:52:36.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord God. Please save the Phipplnes,lord god please save the phipplnes,English,2025-04-23T10:53:09.000Z,Facebook,"Meycauayan, Bulacan",Flood
Salamat po lord sa arw2 sa inyong pggabay. Wg nyong pahintulotan na magkaron ng malakas n lindol d2 sa aming bansa. Jesus name haleluya,salamat po lord sa arw2 sa inyong pggabay wg nyong pahintulotan na magkaron ng malakas n lindol d2 sa aming bansa jesus name haleluya,Tagalog,2025-04-22T21:56:14.000Z,Facebook,"Meycauayan, Bulacan",Flood
GOD BLESS everyone keep safe 🙏,god bless everyone keep safe :foldedhands:,Taglish,2025-04-22T21:43:45.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen LordGod Jesus please keep us all safe today & everyday Amen,amen lordgod jesus please keep us all safe today everyday amen,English,2025-04-23T02:45:52.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen,amen,Taglish,2025-04-22T23:33:32.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord Jesus save us my whole family🙏🙏❤️,lord jesus save us my whole family:foldedhands::foldedhands::redheart:,English,2025-04-23T02:45:11.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep safe and always pray 🙏🙏🙏🙏,keep safe and always pray :foldedhands::foldedhands::foldedhands::foldedhands:,Taglish,2025-04-22T21:29:54.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord God have mercy 🙏,lord god have mercy :foldedhands:,English,2025-04-23T07:17:07.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep safe everyone🙏🙏🙏,keep safe everyone:foldedhands::foldedhands::foldedhands:,Taglish,2025-04-22T23:28:25.000Z,Facebook,"Meycauayan, Bulacan",Flood
Pls everyone needs to pray nothing impossible to god Amen🙏🙏🙏,please everyone needs to pray nothing impossible to god amen:foldedhands::foldedhands::foldedhands:,English,2025-04-22T21:03:53.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen 🙏🙏,amen :foldedhands::foldedhands:,Taglish,2025-04-23T10:34:54.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen,amen,Taglish,2025-04-23T06:11:24.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen,amen,Taglish,2025-04-23T05:00:19.000Z,Facebook,"Meycauayan, Bulacan",Flood
Stay safe po and Pray 🙏🙏🙏,stay safe po and pray :foldedhands::foldedhands::foldedhands:,English,2025-04-23T01:18:51.000Z,Facebook,"Meycauayan, Bulacan",Flood
In Jesus Name Amen🙏🏻🙏🏻🙏🏻,in jesus name amen:foldedhandslightskintone::foldedhandslightskintone::foldedhandslightskintone:,Taglish,2025-04-23T03:04:53.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord God, please keep everyone safe! 🙏",lord god please keep everyone safe :foldedhands:,Taglish,2025-04-22T21:23:20.000Z,Facebook,"Meycauayan, Bulacan",Flood
Protect us dear Lord Jesus,protect us dear lord jesus,Taglish,2025-04-23T06:31:20.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord God hear our prayer In Jesus name,lord god hear our prayer in jesus name,English,2025-04-22T22:21:46.000Z,Facebook,"Meycauayan, Bulacan",Flood
What nio Po kmi pababayaan ama,what nio po kmi pababayaan ama,Tagalog,2025-04-22T22:15:44.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen Lord,amen lord,Taglish,2025-04-22T23:34:48.000Z,Facebook,"Meycauayan, Bulacan",Flood
Thank you lord amen.,thank you lord amen,English,2025-04-23T05:54:39.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord have mercy!  ❤️,lord have mercy :redheart:,English,2025-04-23T04:29:22.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Great Father, the Almighty King of Kings, you are the owner of all our lives. There is nothing we can do but trust in you. Continue to strengthen us, Almighty God, do not forsake us.",great father the almighty king of kings you are the owner of all our lives there is nothing we can do but trust in you continue to strengthen us almighty god do not forsake us,English,2025-04-23T00:55:44.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep us all  safe Lord,keep us all safe lord,Taglish,2025-04-23T00:33:56.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord save your people in the whole world  amen na amen PO 🙏🙏🙏,lord save your people in the whole world amen na amen po :foldedhands::foldedhands::foldedhands:,English,2025-04-22T23:30:17.000Z,Facebook,"Meycauayan, Bulacan",Flood
Prayers is d best 🙏 amen,prayers is d best :foldedhands: amen,Taglish,2025-04-23T08:49:00.000Z,Facebook,"Meycauayan, Bulacan",Flood
